Timestamp,Judge,Poster_Title,Scientific_Clarity,Data_Presentation,Visual_Design,Impact,Tiebreaker,Total,Comment
2025-07-27 19:13:20.379407,Anonymous,Mdm1 Coordinates Sphingolipid Metabolism and Nutrient Transport to Regulate Longevity,3,2,3,2,2,12,sss
2025-07-27 17:36:49.266894,Anonymous,Armoring T Cell Membranes to Potentiate Anti-Tumor Activity,3,2,3,3,5,16,
2025-07-27 20:02:05.821426,Anonymous,Sphingolipids needed for rapid recruitment of membrane repair machinery,3,3,3,2,3,14,
2025-07-27 20:06:14.675517,Anonymous,The Hidden Role of Brain Bile Acids: Microglia Drive Neurodevelopment via Cyp27a1,4,2,4,3,3,16,qqq
2025-07-27 19:38:01.105077,Anonymous,Armoring T Cell Membranes to Potentiate Anti-Tumor Activity,3,4,4,3,3,17,
2025-07-27 16:25:18.681999,Anonymous,Armoring T Cell Membranes to Potentiate Anti-Tumor Activity,1,5,4,4,2,16,
2025-07-27 17:35:42.391235,Anonymous,Mdm1 Coordinates Sphingolipid Metabolism and Nutrient Transport to Regulate Longevity,3,3,2,2,2,12,
2025-07-27 19:24:15.297274,Anonymous,Nem1 HAD-like active site motifs are essential for its protein phosphatase activity on PA phosphatase Pah1,2,2,2,3,2,11,
2025-07-27 15:59:39.064300,Anonymous,Mdm1 Coordinates Sphingolipid Metabolism and Nutrient Transport to Regulate Longevity,3,2,3,4,4,16,this is a test
2025-07-27 19:15:22.821749,Anonymous,Towards a molecular understanding of RNAâ€“Lipid interactions in biological systems,2,3,2,2,2,11,
2025-07-27 16:24:15.632722,Bettinger,Mdm1 Coordinates Sphingolipid Metabolism and Nutrient Transport to Regulate Longevity,2,4,3,3,3,15,tes
2025-07-28 07:52:07.255818,Anonymous,Intestinal RICT-1 regulates the larval germline progenitor pool via the vitellogenins VIT-1 and VIT-3 in C. elegans,5,5,5,5,5,25,teest3
